,edisgo_id
1398,Charging_Point_LVGrid_97725_public_11
1399,Charging_Point_LVGrid_97726_public_16
1400,Charging_Point_LVGrid_97717_public_5
1401,Charging_Point_LVGrid_97717_public_6
1402,Charging_Point_LVGrid_97726_public_17
1403,Charging_Point_LVGrid_97726_public_18
1404,Charging_Point_LVGrid_97727_public_6
1405,Charging_Point_LVGrid_440345_public_1
1406,Charging_Point_LVGrid_97717_public_7
1407,Charging_Point_LVGrid_97724_public_3
1408,Charging_Point_LVGrid_97722_public_19
1409,Charging_Point_LVGrid_440345_public_2
1410,Charging_Point_LVGrid_97730_public_3
1411,Charging_Point_LVGrid_97731_public_11
1412,Charging_Point_LVGrid_97730_public_4
1414,Charging_Point_LVGrid_98951_public_6
1415,Charging_Point_LVGrid_99310_public_4
1416,Charging_Point_LVGrid_97722_public_20
1417,Charging_Point_LVGrid_97725_public_12
1418,Charging_Point_LVGrid_97723_public_13
1420,Charging_Point_LVGrid_97724_public_4
1422,Charging_Point_LVGrid_97732_public_11
1423,Charging_Point_LVGrid_487647_public_1
1424,Charging_Point_LVGrid_97727_public_7
1425,Charging_Point_LVGrid_97717_public_8
1426,Charging_Point_LVGrid_99308_public_3
1427,Charging_Point_LVGrid_98951_public_7
1428,Charging_Point_LVGrid_439676_public_1
1429,Charging_Point_LVGrid_98951_public_8
1430,Charging_Point_LVGrid_97340_public_8
1431,Charging_Point_LVGrid_98952_public_11
1432,Charging_Point_LVGrid_97730_public_5
1433,Charging_Point_LVGrid_97730_public_6
1435,Charging_Point_LVGrid_99143_public_6
1436,Charging_Point_LVGrid_97717_public_9
1438,Charging_Point_LVGrid_97717_public_10
1439,Charging_Point_LVGrid_99144_public_2
1440,Charging_Point_LVGrid_97334_public_5
1441,Charging_Point_LVGrid_97717_public_11
1442,Charging_Point_LVGrid_97723_public_14
1443,Charging_Point_LVGrid_97723_public_15
1444,Charging_Point_LVGrid_99159_public_8
1445,Charging_Point_LVGrid_97722_public_21
1446,Charging_Point_LVGrid_97290_public_13
1447,Charging_Point_LVGrid_97851_public_7
1448,Charging_Point_LVGrid_97952_public_1
1449,Charging_Point_LVGrid_98951_public_9
1450,Charging_Point_LVGrid_98951_public_10
1451,Charging_Point_LVGrid_97735_public_16
1452,Charging_Point_LVGrid_97851_public_8
1453,Charging_Point_LVGrid_97255_public_9
1455,Charging_Point_LVGrid_97290_public_14
